Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.59991E-6,0.000659991,0.001529927,1,0,0
6.60012E-6,0.001320003,0.001529977,0.999146758,0,0
6.60034E-6,0.002640059,0.001530028,0.997440273,0,0
6.60166E-6,0.005280469,0.001530334,0.994027304,0,0
6.60332E-6,0.010562888,0.001530718,0.987201365,0,0
6.60676E-6,0.025094199,0.001531516,0.968430034,0,0
6.6133E-6,0.050212987,0.00153303,0.936006826,0,0
6.63296E-6,0.100538082,0.001537583,0.87116041,0,0
6.65428E-6,0.200210754,0.001542522,0.743174061,0,0
6.6769E-6,0.300172431,0.001547761,0.615187713,0,0
6.88028E-6,0.400361928,0.001594869,0.488054608,0,0
9.87244E-6,0.500248412,0.002287667,0.383959044,0,0
2.64755E-5,0.60116816,0.006123182,0.332764505,0,0
3.33609E-5,0.70213108,0.007709446,0.302901024,0,0
4.06542E-5,0.750134344,0.00938695,0.291808874,0,0
4.88482E-5,0.800149361,0.011268221,0.282423208,0,0
6.72273E-5,0.904883963,0.015474944,0.267064846,0,0
7.75074E-5,1.006430482,0.017820084,0.255119454,0,0
1.082E-4,1.107605296,0.024788616,0.245733788,0,0
1.49698E-4,1.213320618,0.034132037,0.23890785,0,0
1.84416E-4,1.315125144,0.041879994,0.233788396,0,0
2.34309E-4,1.422143672,0.052905905,0.229522184,0,0
2.616E-4,1.522535374,0.058883113,0.226109215,0,0
4.45561E-4,1.784776855,0.098202055,0.220136519,0,0
5.09584E-4,2.023267022,0.111497017,0.215870307,0,0
5.42849E-4,2.286812107,0.118327312,0.211604096,0,0
5.99015E-4,2.524118262,0.129740815,0.208191126,0,0
6.51915E-4,2.779609459,0.140355504,0.204778157,0,0
7.63589E-4,3.069607437,0.162340441,0.201365188,0,0
7.79516E-4,3.302523544,0.165429764,0.198805461,0,0
7.92621E-4,3.538727392,0.167963081,0.196245734,0,0
8.00643E-4,3.777861165,0.169510149,0.193686007,0,0
8.32556E-4,4.023910518,0.175635805,0.19112628,0,0
8.68036E-4,4.281924759,0.182393363,0.188566553,0,0
8.89204E-4,4.545993964,0.186398437,0.186006826,0,0
9.26402E-4,4.819651959,0.193389254,0.183447099,0,0
9.30192E-4,5.005312311,0.194098176,0.181740614,0,0
9.83092E-4,5.295252971,0.203927889,0.179180887,0,0
1.02707E-3,5.597691719,0.212008767,0.17662116,0,0
1.06949E-3,5.81148342,0.219724896,0.174914676,0,0
1.08359E-3,6.026817823,0.222272234,0.173208191,0,0
1.22274E-3,6.267151628,0.246978794,0.171501706,0,0
1.26003E-3,6.516475923,0.253463901,0.169795222,0,0
1.39041E-3,6.787949376,0.275705689,0.168088737,0,0
1.46774E-3,7.074936877,0.288584065,0.166382253,0,0
1.6571E-3,7.387724697,0.319158782,0.164675768,0,0
1.69581E-3,7.557306073,0.32524681,0.163822526,0,0
1.78957E-3,7.906497944,0.339765007,0.162116041,0.0625,0
1.79451E-3,8.085948588,0.340520115,0.161262799,0.0625,0
1.82998E-3,8.268946337,0.345924612,0.160409556,0.0625,0
2.0304E-3,8.656602672,0.37564038,0.158703072,0.0625,0
2.42477E-3,8.899079247,0.430226492,0.157849829,0.0625,0
2.51726E-3,9.150805543,0.442322581,0.156996587,0.0625,0
2.6651E-3,9.41731527,0.461124307,0.156143345,0.0625,0
2.67492E-3,9.684807007,0.462350546,0.155290102,0.0625,0
2.74674E-3,9.959481127,0.471234781,0.15443686,0.0625,0
2.77377E-3,10.23685827,0.474540128,0.153583618,0.0625,0
2.82706E-3,10.519564012,0.480995723,0.152730375,0.0625,0
2.90879E-3,10.810443279,0.490744157,0.151877133,0.0625,0
2.92362E-3,11.102805743,0.49249341,0.151023891,0.0625,0
2.97185E-3,11.399990294,0.498139077,0.150170648,0.0625,0
2.99561E-3,11.699551532,0.500898537,0.149317406,0.0625,0
2.99866E-3,11.999417359,0.501251082,0.148464164,0.0625,0
3.01004E-3,12.30042174,0.502566693,0.147610922,0.0625,0
3.01481E-3,12.601902487,0.50311611,0.146757679,0.0625,0
3.01728E-3,12.903630633,0.503401206,0.145904437,0.0625,0
3.03588E-3,13.207218354,0.505538914,0.145051195,0.0625,0
3.05518E-3,13.512736786,0.507748662,0.144197952,0.0625,0
3.08303E-3,13.821039321,0.510917759,0.14334471,0.0625,0
3.12251E-3,14.133290093,0.515377023,0.142491468,0.0625,0
3.12376E-3,14.445665728,0.515517382,0.141638225,0.0625,0
3.19266E-3,14.764932133,0.523200626,0.140784983,0.0625,0
3.24949E-3,15.089881618,0.529445521,0.139931741,0.0625,0
3.29131E-3,15.419012741,0.53398825,0.139078498,0.0625,0
3.30377E-3,15.749389681,0.535333146,0.138225256,0.0625,0
3.32427E-3,16.08181665,0.537537773,0.137372014,0.0625,0
3.36102E-3,16.417918358,0.541463483,0.136518771,0.125,0
3.37097E-3,16.755015412,0.54252106,0.135665529,0.125,0
3.40077E-3,17.095092034,0.54567236,0.134812287,0.125,0
3.40829E-3,17.435920983,0.546464609,0.133959044,0.125,0
3.45064E-3,17.780985366,0.550899088,0.133105802,0.125,0
3.46877E-3,18.127862213,0.552783456,0.13225256,0.125,0
3.47902E-3,18.475764069,0.553845629,0.131399317,0.125,0
3.52488E-3,18.828251981,0.558567148,0.130546075,0.125,0
3.5249E-3,19.180741537,0.55856883,0.129692833,0.125,0
3.53862E-3,19.53460323,0.559971756,0.12883959,0.125,0
3.5405E-3,19.888653515,0.560164232,0.127986348,0.125,0
3.63891E-3,20.252544788,0.570091884,0.127133106,0.1875,0
3.6534E-3,20.617884875,0.571534412,0.126279863,0.1875,0
3.654E-3,20.983284586,0.571593673,0.125426621,0.1875,0
3.67348E-3,21.350632849,0.573525874,0.124573379,0.1875,0
3.68013E-3,21.718646092,0.574183276,0.123720137,0.1875,0
3.69859E-3,22.088504928,0.576002536,0.122866894,0.1875,0
3.75924E-3,22.464429118,0.581926779,0.122013652,0.1875,0
3.82827E-3,22.847256231,0.588568459,0.12116041,0.1875,0
3.84221E-3,23.231476943,0.589896462,0.120307167,0.1875,0
3.89584E-3,23.621060782,0.594967281,0.119453925,0.1875,0
3.89857E-3,24.010917367,0.595223479,0.118600683,0.1875,0
3.90866E-3,24.401782896,0.596169802,0.11774744,0.1875,0
4.00399E-3,24.802181653,0.60500285,0.116894198,0.1875,0
4.01142E-3,25.203323251,0.605682963,0.116040956,0.1875,0
4.08245E-3,25.611568148,0.612127587,0.115187713,0.1875,0
4.10466E-3,26.022034563,0.614121406,0.114334471,0.1875,0
4.15636E-3,26.43767042,0.618721408,0.113481229,0.1875,0
4.18417E-3,26.856087759,0.621173765,0.112627986,0.1875,0
4.19273E-3,27.275360831,0.621925064,0.111774744,0.1875,0
4.2061E-3,27.695970661,0.623095702,0.110921502,0.1875,0
4.26128E-3,28.122098545,0.627889786,0.110068259,0.1875,0
4.2765E-3,28.549749016,0.629201842,0.109215017,0.1875,0
4.3059E-3,28.98033924,0.631722034,0.108361775,0.1875,0
4.31139E-3,29.411478676,0.632190961,0.107508532,0.1875,0
4.36948E-3,29.848426332,0.637113715,0.10665529,0.1875,0
4.374E-3,30.285825938,0.637493991,0.105802048,0.25,0
4.37655E-3,30.723481384,0.637709081,0.104948805,0.25,0
4.41454E-3,31.164935377,0.640887624,0.104095563,0.25,0
4.43399E-3,31.608334766,0.642504677,0.103242321,0.25,0
4.43766E-3,32.052101157,0.642808918,0.102389078,0.25,0
4.45574E-3,32.497675256,0.644303722,0.101535836,0.25,0
4.48385E-3,32.94606005,0.646615485,0.100682594,0.25,0.333333333
4.49079E-3,33.395138849,0.647183979,0.099829352,0.25,0.333333333
4.49946E-3,33.845085252,0.64789339,0.098976109,0.25,0.333333333
4.56246E-3,34.301330996,0.653001558,0.098122867,0.25,0.333333333
4.58069E-3,34.759400443,0.654466528,0.097269625,0.3125,0.333333333
4.62725E-3,35.222125634,0.658178472,0.096416382,0.3125,0.333333333
4.63321E-3,35.68544688,0.658650807,0.09556314,0.3125,0.333333333
4.66582E-3,36.152028549,0.66122296,0.094709898,0.3125,0.333333333
4.68633E-3,36.620661484,0.662831265,0.093856655,0.3125,0.333333333
4.70604E-3,37.091265096,0.664369192,0.093003413,0.3125,0.333333333
4.70784E-3,37.56204914,0.664509651,0.092150171,0.3125,0.333333333
4.70862E-3,38.032910765,0.664570027,0.091296928,0.3125,0.333333333
4.74006E-3,38.506916286,0.667007571,0.090443686,0.375,0.333333333
4.77173E-3,38.984088971,0.669445246,0.089590444,0.375,0.333333333
4.85625E-3,39.469714024,0.675863786,0.088737201,0.375,0.333333333
4.85791E-3,39.955505374,0.675988809,0.087883959,0.375,0.333333333
4.87303E-3,40.442808052,0.677122836,0.087030717,0.375,0.333333333
4.87776E-3,40.930583931,0.677477086,0.086177474,0.375,0.333333333
4.89633E-3,41.420216556,0.678863341,0.085324232,0.375,0.333333333
4.91286E-3,41.91150293,0.680093021,0.08447099,0.375,0.333333333
4.92742E-3,42.40424468,0.681171301,0.083617747,0.375,0.333333333
4.9314E-3,42.89738443,0.681465544,0.082764505,0.375,0.333333333
4.93776E-3,43.391160427,0.681935358,0.081911263,0.375,0.333333333
4.95303E-3,43.886462931,0.683059733,0.08105802,0.375,0.333333333
4.96001E-3,44.382463897,0.68357287,0.080204778,0.375,0.333333333
4.96672E-3,44.879136302,0.684065372,0.079351536,0.375,0.333333333
4.99351E-3,45.37848775,0.686022833,0.078498294,0.375,0.333333333
5.01162E-3,45.879649285,0.687338518,0.077645051,0.375,0.333333333
5.02561E-3,46.382210697,0.688352252,0.076791809,0.375,0.333333333
5.04266E-3,46.886476955,0.689582396,0.075938567,0.375,0.333333333
5.04714E-3,47.391190629,0.689904427,0.075085324,0.375,0.333333333
5.04839E-3,47.896029252,0.689994301,0.074232082,0.375,0.333333333
5.05418E-3,48.401446885,0.690410431,0.07337884,0.375,0.333333333
5.06858E-3,48.908305196,0.691443414,0.072525597,0.375,0.333333333
5.07115E-3,49.415419755,0.691626785,0.071672355,0.375,0.333333333
5.07816E-3,49.923236065,0.692128402,0.070819113,0.375,0.666666667
5.07972E-3,50.431207806,0.692239394,0.06996587,0.375,0.666666667
5.08035E-3,50.93924291,0.69228463,0.069112628,0.375,0.666666667
5.08858E-3,51.448101264,0.692871757,0.068259386,0.375,0.666666667
5.09152E-3,51.957253529,0.693081097,0.067406143,0.375,0.666666667
